city;region_code
Ейский р-н;23
Еланский р-н;34
Елец;48
Ессентуки;26
Железноводск;26
Железногорск;46
Жиздринский р-н;40
Жирновский р-н;34
Жирятинский р-н;32
Жуковский;50
Жуковский р-н;40
Жулебинская эстакада;77
Задонский р-н;48
Замоскворецкая линия;77
Зеленоград;77
Зеленодольская ул.;77
Зеленодольский р-н;16
Зеленчукский р-н;9
Зерноград;61
Зерноградский р-н;61
Знаменск;30
Зольский р-н;7
Зубово-Полянский р-н;13
Иваново;37
Ижевск;18
Избербаш;5
Изобильненский г.о.;26
Инзенский р-н;73
Ипатовский г.о.;26
Иристонский район;15
Исаклинский р-н;63
Истра;50
Йошкар-Ола;12
Кавказский р-н;23
Казань;16
Калачеевский р-н;36
Калачёвский р-н;34
Калининский р-н;23
Калининский р-н;64
Калининский р-н;23
Калининский р-н;64
Калуга;40
Калужско-Рижская линия;77
Каменск-Шахтинский;61
Каменский р-н;36
Камско-Устьинский р-н;16
Камышин;34
Канаш;21
Каневской р-н;23
Кантемировский р-н;36
Карабудахкентский р-н;5
Карачаевск;9
Карачаевский р-н;9
Карачевский р-н;32
Каспийск;5
Каширский район;36
Каширское ш.;77
Кизилюртовский р-н;5
Кизляр;5
Кизлярский р-н;5
Кинель;63
Кинель-Черкасский р-н;63
Кинельский район;63
Киров;43
Кировоградская ул.;77
Кировский г.о.;26
Кировский муниципальный округ;26
Кировский р-н;40
Кисловодск;26
Климовский р-н;32
Клин;50
Клинцовский р-н;32
Клинцы;32
Ковылкинский р-н;13
Коломна;50
Комсомольский муниципальный округ;21
Кореновск;23
Кореновский р-н;23
Королёв;50
Корочанский р-н;31
Кострома;44
Котельники;50
Котовский р-н;34
Кочубеевский муниципальный округ;26
Кошкинский р-н;63
Красная площадь;77
Красная улица;23
Краснинский р-н;48
Красноармейский р-н;64
Красноармейский район;34
Красногвардейский муниципальный округ;26
Красногорск;50
Краснодар;23
Краснодарскиы_краы_стрелка;23
Краснознаменск;50
Красноярский р-н;30
Красноярский р-н;63
Красноярский р-н;30
Красноярский р-н;63
Крымск;23
Крымский р-н;23
Кстовский муниципальный округ;52
Кугеси;21
Кузнецк;58
Кузоватовский р-н;73
Кумылженский р-н;34
Курск;46
Курский муниципальный округ;26
Курский р-н;46
Курчалоевский р-н;95
Курчалоевский район;95
Куыбышево;61
Лабинский р-н;23
Лаганский р-н;8
Лебедянский район;48
Ленинский г.о.;50
Лермонтов;26
Ливны;57
Лиманский р-н;30
Липецк;48
Липецкий р-н;48
Лискинский р-н;36
Лобня;50
Лукояновский муниципальный округ;52
Луховицы;50
Лыткарино;50
Люберцы;50
Люблинско-Дмитровская линия;77
Лямбирский р-н;13
Майкоп;1
Малгобек;6
Малоярославецкий р-н;40
Мамадышский р-н;16
Мариинско-Посадский муниципальный округ;21
Маркс;64
Махачкала;5
Мензелинский р-н;16
Миллеровский р-н;61
Минераловодский г.о.;26
Михайловка;34
Мичуринск;68
Мичуринский пр-т;77
Можайский г.о.;50
Мокшанский р-н;58
Морозовский р-н;61
Моршанск;68
Москва;77
Москва;50
Москва;77
Москва;50
Московская_област_дубна;50
Московское ш.;15
Мостовский р-н;23
Муром;33
Мценск;57
Мытищи;50
Мясниковский р-н;61
Набережные Челны;16
Надтеречный р-н;95
Нальчик;7
Наримановский р-н;30
Наро-Фоминский г.о.;50
Нарткала;7
Наурский р-н;95
Научный пр.;77
Невинномысск;26
Неклиновский р-н;61
Нефтегорский р-н;63
Нефтекамск;2
Нефтекумский г.о.;26
Нехаевский р-н;34
Нижегородская ул.;77
Нижнекамский р-н;16
Нижний Новгород;52
Никулинская ул.;77
Новоалександровский г.о.;26
Новозыбковский г.о.;32
Новокубанский р-н;23
Новокуйбышевск;63
Новолакский р-н;5
Новомалыклинский р-н;73
Новомосковск;71
Новомосковский административный округ;77
Новооскольский г.о.;31
Новороссийск;23
Новоселицкий муниципальный округ;26
Новосергиевский р-н;56
Новосильский р-н;57
Новоспасский р-н;73
Новоузенский р-н;64
Новоусманский р-н;36
Новохопёрский р-н;36
Новочебоксарск;21
Новочеркасск;61
Новошахтинск;61
Ногайский р-н;9
Обнинск;40
Обоян;36
Обоянский р-н;46
Одесская улица;73
Одинцово;50
Одинцовский г.о.;50
Озёрная ул.;77
Оренбург;56
Оренбургский р-н;56
Орехово-Зуевский г.о.;50
Орёл;57
Острогожский р-н;36
Отрадненский р-н;23
Отрадный;63
Павлово-Посадский г.о.;50
Павловский Посад;50
Павловский муниципальный округ;52
Павловский р-н;23
Павловский р-н;36
Павловский р-н;23
Павловский р-н;36
Пенза;58
Пензенский р-н;58
Первомайский р-н;68
Перелюбский р-н;64
Перемышльский р-н;40
Перервинский б-р;77
Пестравский р-н;63
Петровский г.о.;26
Площадь фонтанов;15
Поворинский р-н;36
Погарский р-н;32
Подольск;50
Похвистнево;63
Почепский р-н;32
Починковский муниципальный округ;52
Предгорный муниципальный округ;26
Приволжский район;30
Прикубанский р-н;9
Прикубанский район;9
Пристенский р-н;46
Пролетарский пр-т;77
Просторная ул.;77
Прохладненский р-н;7
Прохладный;7
Пугачёвский р-н;64
Пятигорск;26
Пятигорский;26
Раменский г.о.;50
Раменское;50
Рамонский р-н;36
Рассказово;68
Репьёвский р-н;36
Реутов;50
Ржевский муниципальный округ;69
Родниковский р-н;37
Ромодановский р-н;13
Рославльский р-н;67
Россошанская ул.;77
Россошанский р-н;36
Ростов-на-Дону;61
Ртищевский р-н;64
Рублёвское ш.;77
Руднянский р-н;34
Рузаевский р-н;13
Рузский г.о.;50
Рыльский р-н;46
Рыльский район;46
Рязанский р-н;62
Рязань;62
Самара;63
Саранск;13
Саратов;64
Сафоновский р-н;67
Саянская ул.;77
Святоозёрская ул.;77
Северный административный округ;77
Северо-Восточный административный округ;77
Северо-Западный административный округ;77
Северский р-н;23
Севский р-н;32
Сельцо;32
Семикаракорский р-н;61
Сенгилеевский р-н;73
Серафимовичский р-н;34
Сергачский муниципальный округ;52
Сергиево-Посадский г.о.;50
Сердобский р-н;58
Серпухов;50
Серпуховско-Тимирязевская линия;77
Симферополь;82
Симферопольский б-р;77
Симферопольский р-н;82
Славянск-на-Кубани;23
Славянский р-н;23
Смоленск;67
Смоленский р-н;67
Смольная ул.;77
Сосновский муниципальный округ;68
Сочи;23
Спасский р-н;62
Ставрополь;26
Ставропольский р-н;63
Стародубский муниципальный округ;32
Староминский р-н;23
Староникольская ул.;77
Старооскольский г.о.;31
Старооскольский городской округ;31
Старый Оскол;31
Стерлитамак;2
Ступино;50
Судак;82
Сулейман-Стальский р-н;5
Сунженский р-н;6
Суражский р-н;32
Сухиничский р-н;40
Сходненская ул.;77
Счелково;50
Сызранский р-н;63
Сызрань;63
Таганрог;61
Таганская улица;77
Таганско-Краснопресненская линия;77
Тамбов;68
Тамбовский муниципальный округ;68
Тамбовский р-н;68
Тарумовский р-н;5
Тахтамукайский р-н;1
Тбилисский р-н;23
Тверь;69
Темниковский р-н;13
Темрюкский р-н;23
Темрюкский район;23
Тереньгульский р-н;73
Терский р-н;7
Тимашевский район;23
Тимский р-н;46
Тихорецкий р-н;23
Тольятти;63
Торжок;69
Тотемский муниципальный округ;35
Троицкий административный округ;77
Трубчевский р-н;32
Туапсе;23
Туапсинский р-н;23
Туймазинский р-н;2
Тула;71
Туркменский муниципальный округ;26
Тутаевский р-н;76
Уваровский муниципальный округ;68
Узловский р-н;71
Ульяновск;73
Унечский р-н;32
Унцукульский р-н;5
Урванский р-н;7
Урицкий р-н;57
Урус-Мартановский р-н;95
Усманский р-н;48
Уссурийская ул.;77
Усть-Джегутинский р-н;9
Усть-Лабинский р-н;23
Уфа;2
Фролово;34
Фрязино;50
Фёдоровский р-н;64
Хабаровская ул.;77
Харабалинский р-н;30
Хасавюрт;5
Хасаня;7
Химки;50
Центральный административный округ;77
Чамзинский р-н;13
Чапаевск;63
Чебоксарский муниципальный округ;21
Чебоксары;21
Чегемский р-н;7
Черкесск;9
Чернский район;71
Чернянский р-н;31
Чехов;50
Чишминский р-н;2
Шали;95
Шалинский муниципальный р-н;95
Шатура;50
Шахты;61
Шелковской р-н;95
Широкая ул.;77
Шоссейная ул.;77
Шпаковский муниципальный округ;26
Шпаковский р-н;26
Шумерля;21
Щербиновский р-н;23
Щигры;46
Щёлковское ш.;77
Электрогорск;50
Электросталь;50
Элиста;8
Энгельс;64
Энгельсский р-н;64
Эртильский р-н;36
Юго-Восточный административный округ;77
Южный административный округ;77
Юхновский р-н;40
Яковлевский г.о.;31
Яковлевский городской округ;31
Янтиковский муниципальный округ;21
Ярославль;76
Ярцево;67
Ярцевский р-н;67
Ясеневая ул.;77
Ясногорский р-н;71
г.о. Бор;52
г.о. Буйнакск;5
г.о. Волгоград;34
г.о. Воронеж;36
г.о. Воскресенск;50
г.о. Димитровград;73
г.о. Домодедово;50
г.о. Егорьевск;50
г.о. ЗАТО Светлый;64
г.о. Истра;50
г.о. Камышин;34
г.о. Кизилюрт;5
г.о. Кинель;63
г.о. Клин;50
г.о. Коломна;50
г.о. Красногорск;50
г.о. Липецк;48
г.о. Лотошино;50
г.о. Люберцы;50
г.о. Махачкала;5
г.о. Мытищи;50
г.о. Нижний Новгород;52
г.о. Переславль-Залесский;76
г.о. Пушкинский;50
г.о. Пятигорск;26
г.о. Самара;63
г.о. Серпухов;50
г.о. Солнечногорск;50
г.о. Сочи;23
г.о. Старооскольский;31
г.о. Ступино;50
г.о. Тамбов;68
г.о. Тольятти;63
г.о. Ульяновск;73
г.о. Хасавюрт;5
г.о. Химки;50
г.о. Чебоксары;21
г.о. Чехов;50
г.о. Щёлково;50
городской округ Истра;50
городской округ Махачкала;5
городской округ Сочи;23
д. Толстопальцево;77
коттеджный посёлок Николино Парк;23
муниципальное образование Анапа;23
муниципальное образование Город Геленджик;23
муниципальное образование Краснодар;23
муниципальное образование Тула;71
посёлок городского типа Ромоданово;13
пр-т 60-летия Октября;77
пр-т Коста;15
пр-т Мира;15
пр. Одоевского;77
проспект 50-летия ВЛКСМ;73
проспект Вернадского;77
проспект Мира;48
рабочий посёлок Атяшево;13
рабочий посёлок Рогнедино;32
с. Дур-Дур;15
с. Кизляр;15
с. Майрамадаг;15
с. Чикола;15
село Карабудахкент;5
станица Егорлыкская;61
станица Павлодольская;15
ул. Авиаторов;77
ул. Академика Янгеля;77
ул. Алихана Гагкаева;15
ул. Васильцовский Стан;77
ул. Демьяна Бедного;77
ул. Дыбенко;78
ул. Зураба Магкаева;15
ул. Искры;77
ул. Калинина;15
ул. Калоева;15
ул. Правды;77
ул. Ротерта;77
ул. Свободы;77
ул. Скульптора Мухиной;77
ул. Шаболовка;77
улица 1 Мая;23
улица Астана Кесаева;15
улица Врача Михайлова;73
улица Ленина;46
улица Некрасова;26
улица Пирогова;26
улица Пушкарёва;73
эстакада Бутовской линии метро;77
