;city
383;Центральный административный округ
384;ул. Искры
385;эстакада Бутовской линии метро
386;Серпуховско-Тимирязевская линия
387;Смольная ул.
388;46Н-13994
389;ул. Шаболовка
390;Нижегородская ул.
391;Северный административный округ
392;1-я ул. Леонова
393;Красная площадь
394;Таганско-Краснопресненская линия
395;Бибиревская ул.
396;пр-т 60-летия Октября
397;Джанкойская ул.
398;1-я Владимирская ул.
399;Зеленодольская ул.
400;ул. Свободы
401;Большая Академическая ул.
402;Россошанская ул.
403;Ясеневая ул.
404;Мичуринский пр-т
405;Щёлковское ш.
406;д. Толстопальцево
407;9-я Парковая ул.
408;Кировоградская ул.
409;Электрогорск
410;г.о. Чехов
411;Москва
412;Одинцово
413;46Н-02858
414;Котельники
415;Старооскольский городской округ
416;Старооскольский г.о.
417;г.о. Старооскольский
418;Старый Оскол
419;Яковлевский г.о.
420;Волоконовский р-н
421;Чернянский р-н
422;Корочанский р-н
423;Яковлевский городской округ
424;Новооскольский г.о.
425;Вейделевский р-н
426;улица Ленина
427;Горшеченский р-н
428;Орёл
429;Клинцы
430;Севский р-н
431;Бежицкий район
432;Брасовский р-н
433;Ливны
434;Курский р-н
435;Брянск
436;Климовский р-н
437;Карачевский р-н
438;Стародубский муниципальный округ
439;Сельцо
440;Почепский р-н
441;рабочий посёлок Рогнедино
442;Дятьковский р-н
443;Гиагинский р-н
444;Выселковский р-н
445;Джанкой
446;с. Кизляр
447;Судак
448;Погарский р-н
449;Суражский р-н
450;Клинцовский р-н
451;Новозыбковский г.о.
452;Унечский р-н
453;Жирятинский р-н
454;Трубчевский р-н
455;Рославльский р-н
456;Урицкий р-н
457;Боровский р-н
458;Смоленск
459;муниципальное образование Тула
460;Железногорск
461;Чернский район
462;Рыльский р-н
463;Сафоновский р-н
464;Жуковский р-н
465;Ярцевский р-н
466;Тверь
467;Ясногорский р-н
468;Глушковский р-н
469;Рассказово
470;38Н-343
471;Тимский р-н
472;Обоянский р-н
473;Щигры
474;Пристенский р-н
475;Рыльский район
476;Родниковский р-н
477;Новосильский р-н
478;Воловский р-н
479;Богородицкий р-н
480;Елец
481;Владимир
482;Пензенский р-н
483;ул. Дыбенко
484;Мичуринск
485;Новомосковск
486;Бор
487;Задонский р-н
488;Краснинский р-н
489;г.о. Липецк
490;Данковский р-н
491;проспект Мира
492;Лебедянский район
493;Добринский р-н
494;Усманский р-н
495;Тамбовский р-н
496;Дзержинск
497;Рязанский р-н
498;Моршанск
499;Зубово-Полянский р-н
500;Белые берега
501;Узловский р-н
502;Тутаевский р-н
503;Сызранский р-н
504;Спасский р-н
505;Камско-Устьинский р-н
506;Маркс
507;Мамадышский р-н
508;Мариинско-Посадский муниципальный округ
509;г.о. Чебоксары
510;Кострома
511;Алатырь
512;Арский р-н
513;Великий Новгород
514;Вологда
515;Торжок
516;Тотемский муниципальный округ
517;г.о. Бор
518;г.о. Ульяновск
519;Йошкар-Ола
520;Пугачёвский р-н
521;Набережные Челны
522;Мценск
523;Острогожский р-н
524;Грайворонский г.о.
525;Вяземский р-н
526;Широкая ул.
527;Обоян
528;Смоленский р-н
529;Алексин
530;Малоярославецкий р-н
531;Ярославль
532;Гагаринский р-н
533;Ржевский муниципальный округ
534;Сосновский муниципальный округ
535;Тамбовский муниципальный округ
536;Первомайский р-н
537;г.о. Тамбов
538;Уваровский муниципальный округ
539;Фёдоровский р-н
540;Вольский р-н
541;Балашовский р-н
542;Калининский р-н
543;Ртищевский р-н
544;Энгельс
545;Новоузенский р-н
546;г.о. ЗАТО Светлый
547;Волжский р-н
548;Сызрань
549;г.о. Самара
550;Чапаевск
551;Кинель
552;Отрадный
553;Похвистнево
554;Новокуйбышевск
555;г.о. Тольятти
556;Богатовский р-н
557;г.о. Кинель
558;Красноярский р-н
559;Кинельский район
560;Перелюбский р-н
561;Исаклинский р-н
562;Пестравский р-н
563;Кинель-Черкасский р-н
564;Нефтегорский р-н
565;Борский р-н
566;Кошкинский р-н
567;Темниковский р-н
568;Чамзинский р-н
569;Ковылкинский р-н
570;посёлок городского типа Ромоданово
571;Лямбирский р-н
572;рабочий посёлок Атяшево
573;Рузаевский р-н
574;Большеберезниковский р-н
575;Канаш
576;Киров
577;Сергачский муниципальный округ
578;Святоозёрская ул.
579;Мокшанский р-н
580;Димитровград
581;Починковский муниципальный округ
582;Кузнецк
583;ул. Ротерта
584;Чебоксарский муниципальный округ
585;Сердобский р-н
586;Ступино
587;Мензелинский р-н
588;Ижевск
589;Уфа
590;Чишминский р-н
591;Вятские Поляны
592;Нефтекамск
593;Галич
594;Нижнекамский р-н
595;Иваново
596;Кузоватовский р-н
597;г.о. Димитровград
598;улица Пушкарёва
599;проспект 50-летия ВЛКСМ
600;Вешкаймский р-н
601;Базарносызганский р-н
602;Сенгилеевский р-н
603;Новоспасский р-н
604;Новочебоксарск
605;Комсомольский муниципальный округ
606;Ардатовский р-н
607;Ромодановский р-н
608;Кировский р-н
609;Юхновский р-н
610;Дзержинский р-н
611;Обнинск
612;Бабынинский р-н
613;Перемышльский р-н
614;Сухиничский р-н
615;Жиздринский р-н
616;Вязма
617;Десногорск
618;Велижский р-н
619;Ярцево
620;Новомалыклинский р-н
621;Инзенский р-н
622;Барышский р-н
623;Одесская улица
624;улица Врача Михайлова
625;Тереньгульский р-н
626;Шумерля
627;Янтиковский муниципальный округ
628;Зеленодольский р-н
629;Вурнарский муниципальный округ
630;Кугеси
631;Кстовский муниципальный округ
632;г.о. Нижний Новгород
633;Павловский муниципальный округ
634;Лукояновский муниципальный округ
